Title,Abstract,Authors,documentType,pub_month,pub_year,pubtitle,subjectTerms,Database
ENVISIONING AN ADVICE-ONLY PLANNING MODEL,"Garrett discusses advice-only financial planner which is like a bench press spotter in the gym. We educate about proper form and encourage our clients to define personal expectations for growth, stability, and flexibility, but we do not lift the weights for them. He defines the success of a financial planning relationship by clients' level of confidence to implement their own decisions, ultimately understanding the ""why"" behind their actions. Financial planners often want to know the best questions to ask new clients. The best questions stem from a place of authentic curiosity about the families we serve, with active listening being the primary source of our inquiries.","Garrett, Cody", Commentary,Dec,2021,Journal of Financial Planning," Financial planners , Financial planning , Professional relationships",ProQuest One Academic
Table of Contents,,Anonymous, Tbl Of Contents,Dec,2021,Journal of Financial Planning,,ProQuest One Academic
Forty Years of Perspective on the Profession,"Mike Harris, is the chair of retirement studies and a professor at the College for Financial Planning. He has been in the profession for over 40 years and has watched it evolve. Here, Harris spoke with Moore about how the life of a financial adviser has changed, how professional designations will impact career, and what it will take for him to thrive through the changes ahead. Mike admits that he thought he could be an expert in every area of financial planning: insurance, taxes, investments, estate planning, retirement planning, you name it.","Moore, Hannah, CFP®", Feature,Dec,2021,Journal of Financial Planning," Financial planning , Financial planners , Professions , Harris, Mike",ProQuest One Academic
"Inclusive Financial Well-being Empowerment Model for Serving Independent, Neurodivergent Individuals","Financial well-being is understudied in neurodiverse populations. Previous work on the financial lives of individuals with neurodiversity demonstrates that many of these individuals need to acquire basic financial knowledge to help manage and earn money without losing benefits. This study adds to this literature by providing a model of financial empowerment that places a specific emphasis on financial engagement and personhood. Practitioner implications for working with the neurodiverse community, as well as ideas for future research, are addressed. Neurodivergent individuals, depending on the source, constitute somewhere between 20% and 41% of the human population. Autism spectrum disorder is perhaps the most well-known type of neurodiversity; however, the term ""neurodiversity"" also applies to many other groups, including those with attention-deficit/hyperactivity disorder, dyslexia, and dysgraphia. The limited research currently in existence, paired with a wealth of anecdotal reports, suggests that the neurodiverse community is interested in financial empowerment and its many offshoots: education, well-being, and behavior.","Lurtz, Meghaan R, PhD FBS;Komarow, Andrew, CFP® AEP AIF BFA CAP CASL ChFC ChSNC CLU CNP FSCP REBC RHU RICP WMCP", Feature,Nov,2021,Journal of Financial Planning," Autism , Empowerment , Financial planning",ProQuest One Academic
United We Plan,"Looking around board rooms and industry conferences, a financial planner is likely to see all White and almost all male faces. The lack of diverse representation is compounded by the fact that as folks get more experienced in our industry, they tend to raise minimums. Kessel and Elliott wrote a paper, ""Two American Financial Plans: The Next 50 Years of the Racial Wealth Gap and What You Can Do About It,"" that outlines many of the issues facing Black households and people of color. We used probability-weighted national data to create two households that are typical of their respective race. Here, Kessel and Elliott goal for this paper was to see the advice that financial planners can give their Black clients to help them narrow the racial wealth gap as much as possible, and even see if there is a level of financial planning and personal achievement that can eliminate it entirely.","Kessel, Brent, CFP®;Elliott, Kamila, CFP®", Feature,Nov,2021,Journal of Financial Planning," Financial planners , Racial discrimination , Financial planning , African Americans , Client relationships",ProQuest One Academic
Are You Cut Out to Be an Owner?,"Starting off in financial planning, no one expects you to know exactly where you'll be in 10 or 15 years. This is the time of your career to really dig into the areas you love most, and you may not even know where or what that means yet! As you begin your career journey, it's unlikely you already know that you want to run your own practice. Building a financial planning firm can be a deeply personal journey. As you set your sights on that next level of your career, it's exceptionally important to engage with your leadership team in ways that honor and respect the sacrifices of the leaders before you. Just as you want to be appreciated and welcomed among their ranks, don't forget to show gratitude for opportunities shared with you. Over the years, we've learned some top qualities and attitudes that make for an excellent junior partner or successor.","Sjölin, Christine, SHRM-SCP", Feature,Nov,2021,Journal of Financial Planning," Financial planning , Leadership , Succession planning",ProQuest One Academic
Housing Considerations for Women in Retirement: Part Two,"In May 2021, Capital Caring Health surveyed a group of adults over age 50 across all races, income, and health status categories. Ninety percent of respondents wanted to age in place. A 2018 study conducted for AARP by NORC at the University of Chicago indicated 77% of this same age group wanted to remain in their own communities for as long as possible. However, just 59% of those surveyed thought they would be able to do so. There are many reasons people choose to move to another area when they retire. They might prefer a better climate (warmer or cooler), one with lower living costs (including taxes), access to quality healthcare, being nearer to family members and friends, or some combination of these factors. According to a 2018 study by Aegon Center for Longevity &amp; Retirement, 12% of retirees have considered retiring outside the US. There are several places where living costs are considerably less than in the US.","Armstrong, Alexandra, CFP® CRPC", Commentary,Nov,2021,Journal of Financial Planning," Health care , Retirees , Retirement planning , United States--US",ProQuest One Academic
The Sustainability of (Global) Withdrawal Strategies,"The sustainability of a withdrawal strategy is arguably the most important financial issue that retirees have to deal with. If the withdrawals needed to sustain a desired lifestyle and bequest are not consistent with a retiree's portfolio and its expected return, given the retiree's life expectancy, then something must adjust. In fact, the most important goal of a financial plan should be to ensure that the withdrawals planned for the retirement years, including a target bequest, are consistent with a portfolio's capacity to satisfy them. To be clear, this article does not aim to develop an optimal withdrawal strategy. Rather, it aims to provide retirees and their advisers with two tools they can use periodically during retirement: One to calculate the sustainability of whatever withdrawal strategy they have chosen to implement; and another to calculate a sustainable level of inflation-adjusted withdrawals, which could be compared to whatever withdrawals they have chosen to make.","Estrada, Javier, PhD", Feature,Nov,2021,Journal of Financial Planning," Sustainability , Life expectancy , Withdrawals , Retirees , Retirement planning",ProQuest One Academic
FPA Presents: The Fall Learning Series,"The FPA Fall Learning Series will offer educational content for the FPA members in a mix of live and on-demand sessions starting on Nov 8, 2021. New content themes in a variety of offerings will be available weekly. Each week will include a live, featured educational program, including some of the keynote speakers they had lined up for the conference. There will also be several on-demand webinars, live discussions on that week's topics with participating FPA Knowledge Circles, presentations by some of FPA's most engaged partners, and ample CFP® CE credit. Keynote speakers include Gary Altman, Bridget Grimes, and Lawrence Pon.",Anonymous, Feature,Nov,2021,Journal of Financial Planning," Financial planning , Financial planners , Member services , Conferences , Seminars , Professional development",ProQuest One Academic
STAT BANK,Statistics.,Anonymous, Statistics,Nov,2021,Journal of Financial Planning," Statistics , Inequality , Discrimination",ProQuest One Academic
Credits,,Anonymous, Credits,Nov,2021,Journal of Financial Planning,,ProQuest One Academic
"Increasing Diversity Not Just Among Clients but Within the Industry, Too","Cummings explains the importance of increasing diversity in the financial planning profession not just among clients, but within the industry. The ""Two American Financial Plans"" report highlights that Black people only own about 1.5 percent of the US' wealth, even though they make up 13 percent of the population. That's a large discrepancy. To help improve the lives of everyone, financial planners and financial planning firms should make a concentrated effort to better serve and start serving clients that aren't just retired, straight, white men. An entire market of untapped potential exists within the various populaces of women, BIPOC, and LGBTQ+ people. And to more easily relate with potential clients, you should look at increasing the ranks of those very groups within your organization","Cummings, Bridger", Feature,Nov,2021,Journal of Financial Planning," Financial planners , Financial planning , Organization development , Workplace diversity , United States--US",ProQuest One Academic
My Career Path Featuring Christopher Woods,"Here, Christopher Woods, founder of LifePoint Financial Group is profiled. After spending some time with a hybrid RIA at LPL, Woods decided to start his own RIA in 2018. He knew he wanted to pursue a career in finance long before that, though. That fascination led him to economics in college and his interest in financial services deepened. The problem was that he knew he wanted to be in a client-facing role, a role that was hard to come by at the time. After 16 years as a wholesaler, the time was right to make a change. He earned his CFP® certification in 2016, but used his time working in other parts of the industry as a guide for what to do next. Woods encourages new planners to find what they're most interested in and build up their expertise in that area. By building that expertise and not trying to be all things to some people, they can extend their reach.","Woods, Christopher, CFP®, CKA", Feature,Nov,2021,Journal of Financial Planning," Personal profiles , Financial planners , Financial planning , Career development planning , Woods, Christopher",ProQuest One Academic
C.W. Copeland on Increasing Opportunities for Black Planners,"An interview with C W Copeland, assistant professor at American College for Financial Services; financial planner at Innovation Partners LLC; author, Overcoming Obstacles: Experiences of Black Financial Services Professionals, about writing his book and how he got started with the process and what advice or encouragement would he offer Black students or young people who are thinking about planning as a career is presented. He said initially, he was looking at it from a standpoint of empirical research. What he was curious about was whether, specifically African Americans, their ability to transfer wealth was impeded by their ability to grow their practices. If he can't build wealth, then he also can't transfer wealth. He talked to advisers to find out what they've experienced. He added that a lot of planners have an entrepreneurial mindset and want to start out doing it themselves, and there's nothing wrong with starting out independent, but if you're starving, then you can't stay in the business.",Anonymous, Interview,Nov,2021,Journal of Financial Planning," Financial planners , Books , Black students , Writers , Career development planning , Copeland, C W",ProQuest One Academic
Inching Toward Inclusivity,"Andrus discusses the efforts in achieving inclusivity in the financial planning profession. The CFP Board reported that as of Dec 2020, just over 4 percent of CFP® professionals were Black, Latino, or biracial, and less than 24 percent were women. The financial planning industry has taken steps to increase representation of women, people of color, and members of the LGBTQ+ community, but progress has been incremental. It's something that will take a concerted effort to reverse, according to Corinne Low, assistant professor of business economics and public policy at the Wharton School at the University of Pennsylvania. It's better for the industry as increased diversity opens the door to more creativity and innovation. And it's better for communities around the country as access to financial planning gives more people a stronger foundation on which to build their lives.","Andrus, Danielle", Feature,Nov,2021,Journal of Financial Planning," Financial planning , Financial planners , Creativity , Innovations , Workplace diversity",ProQuest One Academic
Table of Contents,,Anonymous, Tbl Of Contents,Nov,2021,Journal of Financial Planning,,ProQuest One Academic
The Next Generation Within a Firm,"Succession planning within a firm is complicated, with a lot riding on it for both generations. To give us a glimpse into what makes or breaks a succession plan, Hannah Moore, CFP®, sat down with two young planners who are in the thick of it. Kevin Cassidy, CFP®, is the NexGen director at FPA Houston and is in the midst of succession at Veritas Wealth Management. Brooklyn Brock, CFP®, CEPA, ChFC, CKA, is the founder of Ellevate, a financial planning firm for advisers that specializes in exit coaching. Together, Kevin and Brooklyn share what they've learned about the pitfalls that crop up and approaches that work when you're taking the reins of an established company. Cassidy, CFP®, is living the ""dream succession plan."" After leaving a career in chemical engineering, he earned his CFP® certification and started working as a planner. Brooklyn worked for 12 years at her family's financial planning firm.",Anonymous, Feature,Nov,2021,Journal of Financial Planning," Financial planning , Financial planners , Succession planning , Career development planning",ProQuest One Academic
"Support LGBTQ+ People Every Month, Not Just During Pride Month","Cummings explains that the LGBTQ+ people should be supported every month, not just during pride month. Members of the LGBTQ+ community still face many struggles, and some of these are ones that even allies wouldn't think of at first. Some companies have yet to allow same-sex spouses to continue receiving the company's pension plan after the retired employee passes away. The finance industry in general has a reputation for being very suit-and-tie, and also very conservative. This can make LGBTQ+ people feel like they might be walking into a hostile environment when reaching out to a financial planner. Creating an inviting and safe space for everyone at all times will help signal that you really do have your clients' best interests in mind. As a financial planner, you can better serve your clients and your community by keeping some of these issues in mind every month - not just during Pride Month.","Cummings, Bridger", Feature,Nov,2021,Journal of Financial Planning," Gays & lesbians , Sex discrimination , Financial planning , Financial planners",ProQuest One Academic
How Planners' Bias Hurts Hiring Efforts,"The number of Certified Financial Planner™ hit an all-time high last year, and as the financial planner ranks have swelled, so has representation of women and people of color. However, the starting place is so low that despite the share of Black and Latino CFP® practitioners increasing at five times the overall rate in 2020, they still account for just 4% of CFP® professionals, according to the CFP Board. The report, written by Judd Kessler, Corinne Low, and Colin Sullivan, and published in American Economic Review, created an experimental tool for measuring how interested an employer was in hiring a candidate. Unlike the ""resume audit"" method, which sends identical resumes with randomly assigned names to employers, the incentivized resume rating method asks employers to rate resumes with randomly assigned characteristics such as university, GPA, and internships, and a name that suggests the hypothetical applicant's race and gender.","Andrus, Danielle", Feature,Nov,2021,Journal of Financial Planning," Financial planners , Financial planning , Women , Bias , Hiring",ProQuest One Academic
How to Avoid Behavioral Biases as an Adviser,"Now that behavioral finance has gained traction across the investment industry, advisers have begun to incorporate psychological insights into helping clients avoid some of their worst counterproductive behaviors. Both advisers and clients increasingly acknowledge the benefit of paying attention to how our brains are wired, an approach rarely seen 30 years ago. It's not that behavioral finance has replaced modern portfolio theory but that it has expanded our knowledge of how investors reach decisions, complementing the traditional view of the rational actor who always carefully chooses to maximize risk-adjusted return. We'll focus not on just the behavioral bias as it manifests in investors but also on the interaction of an investor's blind spots with potential biases we may exhibit as advisers.","Geddes, Patrick", Commentary,Nov,2021,Journal of Financial Planning," Bias , Financial planners , Investors , Investment",ProQuest One Academic
"If You Went Back in Time to When You First Started Being a Financial Planner, What Advice Would You Give to Yourself?",,Anonymous, General Information,Nov,2021,Journal of Financial Planning,,ProQuest One Academic
"Implementing Advice Based on ""A Comparison of the Tax Efficiency of Decumulation Strategies"" by Geisler, Harden, and Hulse","""A Comparison of the Tax Efficiency of Decumulation Strategies"" by Geisler, Harden, and Hulse was published in the March 2021 issue of the Journal of Financial Planning, and the research is invaluable to our profession. Here, Sestok seeks to put that research in motion to better serve their clients. To be concise here, it is assumed you have read the research. It is clear that the ""conventional wisdom"" of decumulating taxable accounts first, tax-deferred accounts second, and tax-exempt accounts last is not actually wise for the vast majority of clients. Geisler et al (2021) conclude that client-focused decumulation strategies have better outcomes than prior cookie-cutter approaches. Implementing their scientifically derived thoughts into practice is complex, but when done well, it positions holistic financial planners as extremely valuable to retiring Americans. Finally, this paper is an ongoing development of considerations for decumulation planning.","Sestok, Byrke, CFP®", Commentary,Nov,2021,Journal of Financial Planning," Risk factors , Financial planners , Tax legislation , Tax reform",ProQuest One Academic
The Five Secret Ingredients of Networking with Purpose,"Getting started in the biz is tricky. Who do you reach out to when you need a little guidance or someone to refer clients to about specific areas you don't cover? Having a wealth of contacts is vital to your success. As the adage goes, it's not what you know--it's who you know. Networking is a vital part of any professional development plan. Talking to new people can be frightening for some. Others may find it second nature. Regardless, the pandemic made it even trickier to meet others, and you might need to adapt your plans. Trudy has several tips that she discussed with other financial planners, as well as a ""secret recipe"" of five C's that she incorporates into all her networking efforts. One of her general tidbits of advice is to try to seek out one-on-one engagements. Jumping into a group of people can be anxiety-inducing for an introverted personality, and also ineffective if they continue their conversation with you being nothing more than a bystander. It's easier to guide the conversation if it's just you and the other person.","Turner, Trudy, CPA/PFS, CFP®, CPWA;Cramm, Emma, CFP®", Feature,Oct,2021,Journal of Financial Planning," Financial planners , Financial planning , Pandemics , Business networking , Professional development",ProQuest One Academic
Career Growth with a Purpose,"Chelsea Ransom-Cooper is the founder of Women with Equity and a partner at Zenith Wealth Partners. She shares how her childhood experiences and drive to serve led her to where she is today. Her goal is to empower women and people of color through accessible financial education and wealth planning. She discusses the mentors and moments that helped guide her through the world of finance, from lack of experience and work that didn't resonate to connections, expertise, and ownership of her true calling. Growing up, Chelsea became interested in finance from watching her mother's struggles. She was a fashion designer, and they lived together in northern New Jersey. Chelsea's father lived more central in the state and was a mortgage broker. Chelsea noticed that her mother's approach to money and lack of financial literacy caused them problems. Her mother relied on the people she worked with to make financial decisions, but they weren't always made in her best interests.","Davis, Alexandria, CFP®", Feature,Oct,2021,Journal of Financial Planning," Financial planning , Empowerment , Financial literacy , Ransom-Cooper, Chelsea",ProQuest One Academic
Table of Contents,,Anonymous, Tbl Of Contents,Oct,2021,Journal of Financial Planning,,ProQuest One Academic
Five Common Challenges When Changing State Tax Residency/Domicile,"State income taxes occupy a prominent place in overall tax planning for individuals, especially high-wealth individuals. Personal income taxes are a significant source of revenue to the states. For example, the Oregon personal income tax is estimated to account for 87 percent of the state's entire general fund revenue. Currently, 42 states in the US impose a personal income tax, with one of them (New Hampshire) only taxing dividend and interest income. Of the taxing states, 10 have a single-rate tax, while 32 states and Washington DC have graduated rate income taxes. Hawaii, with 12, has the most graduated brackets in the country. The impact of state tax liability is not to be underestimated. For example, California has a top marginal rate of 13.2 percent--the highest of any state--and no capital gains rate. The largest combined local and state tax rate in the nation, paid by the highest income earners in New York City, is currently 14.8 percent under recent legislation. Both New York and California, as well as many other states, are considering rate increases, and California is also considering a wealth tax.","Coffill, Eric J", Cover Story,Oct,2021,Journal of Financial Planning," Revenue , Tax planning , Wealth tax , Personal income , Income taxes , California , United States--US",ProQuest One Academic
A Continuity Plan Benefits Everyone,"""What would we ever do without you?"" That's something clients frequently say to their adviser in gratitude for the financial planning, retirement preparation, and investments the adviser manages for them. Most clients place a great deal of trust in their adviser and rely on them to take care of their family and future generations when they're no longer able to do so. Yet there's something in those words of praise that advisers should also hear: a warning. If something unexpected happens to you, who would take care of your clients? It's not a rhetorical question. At Commonwealth, they've seen a lot of bad things happen to good advisers: an adviser who was hit by a bus and was in the hospital for months; sudden illness and heart attacks; and wildfires that consumed an adviser's office and forced her to evacuate. Try as they might, there are things they can't control. You don't get to choose when something unexpected happens to you--but you can choose to be prepared.","McManus, Kristine", Commentary,Oct,2021,Journal of Financial Planning," Financial planning , Financial planners , Investment , Trust , Investment advisors , Retirement planning",ProQuest One Academic
What to Do Before Hiring in Your Planning Practice,"Many financial planners and business owners assume that when they hit capacity in their firm, they need to start hiring. Whether you're looking to hire an administrative assistant, chief operating officer, or even an associate planner, one thing is for certain--hiring is expensive. New hires cost your firm a significant amount of money in salary and benefits. They also ""cost"" your firm time, energy, and resources to find candidates, train them, and ensure that they'll be a valuable fit on your team. Once you hire, you also run the risk of having your new employee leave shortly after hiring. Worse yet, they might not be a fit for your practice--leaving you with the unpleasant task of letting them go. The truth is that hiring can be a pain. Although it's sometimes necessary, business owners need a better solution to scale easily before they look to hire. The good news is that a solution does exist: leveraging your existing processes and technology to free up your time and create a scalable practice.","Spiller, Charesse", Feature,Oct,2021,Journal of Financial Planning," Financial planners , Entrepreneurs , Hiring , Training , Applicants",ProQuest One Academic
